,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,lat,lon
23,1676,A. Morin,France,2015,Togo,Atsane,70,3,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,acidic,nutty,,47.43392,3.07217
24,1676,A. Morin,France,2015,Togo,Kpime,70,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,burnt wood,earthy,choco,,47.43392,3.07217
25,1876,A. Morin,France,2016,Sao tome,Agua Grande,63,3.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,chocolatey,vegetal,,47.43392,3.07217
26,2206,A. Morin,France,2018,Peru,Absolu,63,3.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,dairy,spice,cocoa,47.43392,3.07217
27,2206,A. Morin,France,2018,Venezuela,Porcelana,70,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,alluring aroma,powdery,nutty,,47.43392,3.07217
28,1462,Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,yellow fruit,,,,39.32162,-124.13239
29,1470,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,nutty,cherry,cocoa,39.32162,-124.13239
30,2470,Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,hot cocoa,rich,molasses,,39.32162,-124.13239
31,2462,Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,herbal,molasses,hammy,,39.32162,-124.13239
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,orange,floral,lemon,,-15.26162,179.21269
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa and powerful tang,,,,-15.26162,179.21269
34,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy and candy-like,,,,-15.26162,179.21269
35,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,sublte strawberry,,,-15.26162,179.21269
36,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,woody,spicy,sweet,-19.32125,-175.16432
37,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,basic,sweet,cocoa,woody,-19.32125,-175.16432
